"StateCode","EQDeductibleTier","EQClass","EQDeductible","TotalPropertyValue_From","TotalPropertyValue_ToLessThan","Factor"
"CW",1,"4A","75,000",1000001,3500001,1.053
"CW",1,"4A","75,000",3500001,5500001,1.123
"CW",1,"4A","75,000",5500001,10000001,1.162
"CW",1,"4A","75,000",10000001,2147483647,1.243
"CW",1,"4A","100,000",0,1000001,0.728
"CW",1,"4A","100,000",1000001,3500001,1.017
"CW",1,"4A","100,000",3500001,5500001,1.097
"CW",1,"4A","100,000",5500001,10000001,1.143
"CW",1,"4A","100,000",10000001,2147483647,1.239
"CW",1,"4A","250,000",0,1000001,0.446
"CW",1,"4A","250,000",1000001,3500001,0.862
"CW",1,"4A","250,000",3500001,5500001,0.984
"CW",1,"4A","250,000",5500001,10000001,1.057
"CW",1,"4A","250,000",10000001,2147483647,1.22
"CW",1,"4A","500,000",0,1000001,0.324
"CW",1,"4A","500,000",1000001,3500001,0.701
"CW",1,"4A","500,000",3500001,5500001,0.862
"CW",1,"4A","500,000",5500001,10000001,0.961
"CW",1,"4A","500,000",10000001,2147483647,1.196
"CW",1,"4A","750,000",0,1000001,0.264
"CW",1,"4A","750,000",1000001,3500001,0.584
"CW",1,"4A","750,000",3500001,5500001,0.773
"CW",1,"4A","750,000",5500001,10000001,0.889
"CW",1,"4A","750,000",10000001,2147483647,1.177
"CW",1,"4A","1,000,000",0,1000001,0
"CW",1,"4A","1,000,000",1000001,3500001,0.489
"CW",1,"4A","1,000,000",3500001,5500001,0.701
"CW",1,"4A","1,000,000",5500001,10000001,0.831
"CW",1,"4A","1,000,000",10000001,2147483647,1.16
"CW",1,"4B","500",0,50001,1.221
"CW",1,"4B","500",50001,100001,1.295
"CW",1,"4B","500",100001,250001,1.328
"CW",1,"4B","500",250001,2147483647,1.375
"CW",1,"4B","1,000",0,50001,1.146
"CW",1,"4B","1,000",50001,100001,1.254
"CW",1,"4B","1,000",100001,250001,1.302
"CW",1,"4B","1,000",250001,2147483647,1.374
"CW",1,"4B","2,500",0,100001,1.116
"CW",1,"4B","2,500",100001,250001,1.249
"CW",1,"4B","2,500",250001,500001,1.295
"CW",1,"4B","2,500",500001,2147483647,1.373
"CW",1,"4B","5,000",0,100001,1.146
"CW",1,"4B","5,000",100001,250001,1.254
"CW",1,"4B","5,000",250001,500001,1.295
"CW",1,"4B","5,000",500001,2147483647,1.372
"CW",1,"4B","10,000",0,250001,1.041
"CW",1,"4B","10,000",250001,500001,1.193
"CW",1,"4B","10,000",500001,1000001,1.254
"CW",1,"4B","10,000",1000001,5000001,1.323
"CW",1,"4B","10,000",5000001,2147483647,1.37
"CW",1,"4B","25,000",0,500001,1
"CW",1,"4B","25,000",500001,1000001,1.168
"CW",1,"4B","25,000",1000001,5000001,1.284
"CW",1,"4B","25,000",5000001,10000001,1.323
"CW",1,"4B","25,000",10000001,2147483647,1.365
"CW",1,"4B","50,000",0,1000001,0.999
"CW",1,"4B","50,000",1000001,3500001,1.211
"CW",1,"4B","50,000",3500001,5500001,1.266
"CW",1,"4B","50,000",5500001,10000001,1.297
"CW",1,"4B","50,000",10000001,2147483647,1.36
"CW",1,"4B","75,000",0,1000001,0.914
"CW",1,"4B","75,000",1000001,3500001,1.168
"CW",1,"4B","75,000",3500001,5500001,1.236
"CW",1,"4B","75,000",5500001,10000001,1.275
"CW",1,"4B","75,000",10000001,2147483647,1.355
"CW",1,"4B","100,000",0,1000001,0.843
"CW",1,"4B","100,000",1000001,3500001,1.132
"CW",1,"4B","100,000",3500001,5500001,1.211
"CW",1,"4B","100,000",5500001,10000001,1.256
"CW",1,"4B","100,000",10000001,2147483647,1.351
"CW",1,"4B","250,000",0,1000001,0.542
"CW",1,"4B","250,000",1000001,3500001,0.979
"CW",1,"4B","250,000",3500001,5500001,1.101
"CW",1,"4B","250,000",5500001,10000001,1.172
"CW",1,"4B","250,000",10000001,2147483647,1.332
"CW",1,"4B","500,000",0,1000001,0.405
"CW",1,"4B","500,000",1000001,3500001,0.815
"CW",1,"4B","500,000",3500001,5500001,0.979
"CW",1,"4B","500,000",5500001,10000001,1.078
"CW",1,"4B","500,000",10000001,2147483647,1.308
"CW",1,"4B","750,000",0,1000001,0.335
